bclim1,bclim10,bclim11,bclim12,bclim13,bclim14,bclim15,bclim16,bclim17,bclim18,bclim19,bclim2,bclim3,bclim4,bclim5,bclim6,bclim7,bclim8,bclim9
14.99450016,23.95733261,7.036666393,364,72,3,84.77085876,192,13,13,192,15.51833344,45.05904007,706.4283447,34.27999878,-0.159999996,34.43999863,8.109999657,23.95733261
15.00599957,24.11266708,7.04066658,358,72,1,92.93239594,206,7,11,196,14.14466667,43.15029526,707.4133911,33.31999969,0.540000021,32.77999878,8.057999611,23.89533424
16.8548336,26.42666626,7.942666531,180,35,1,83.30018616,98,7,7,94,16.1609993,43.69255066,760.8121338,36.41199875,-0.576000035,36.98799896,9.601333618,23.90933228
17.56033325,28.24600029,7.506000042,109,17,2,45.43883514,44,12,25,42,17.28000069,42.50713348,847.3403931,38.90000153,-1.751999974,40.65200043,9.559999466,21.25799942
15.4090004,23.79333305,7.850667,380,70,1,85.66789246,197,5,14,195,18.84066582,51.66355896,660.545166,36.27600098,-0.192000002,36.46800232,8.88733387,23.55800056
18.55550003,28.53199959,9.423999786,313,49,4,47.99892426,109,23,84,98,14.90433407,42.29859543,794.6074219,37.61600113,2.380000114,35.23600006,28.36666679,21.31466675
16.33166695,24.60066605,8.647333145,247,45,1,82.89207458,127,4,13,127,18.83666611,51.69795227,657.2175293,36.89599991,0.460000008,36.43600082,9.776666641,24.28199959
13.83666706,22.18799973,6.829333305,368,65,1,87.41394806,186,6,10,180,14.28199959,46.02346039,641.3600464,31.62400055,0.592000008,31.0320015,7.348666668,21.86066628
16.15733337,25.21199989,7.705333233,192,34,1,70.14118958,97,12,13,91,17.84600067,47.52342987,723.7567139,36.60800171,-0.944000006,37.55200195,9.144000053,22.65066719
18.29833412,28.0720005,9.347332954,324,50,5,46.26594925,112,26,87,100,15.49733353,43.79756927,776.7926636,37.4280014,2.04399991,35.38400269,27.86933327,20.97200012
14.64850044,21.70600128,8.486666679,407,74,1,87.15499115,215,6,13,206,17.875,54.00302124,539.9110718,33.74000168,0.639999986,33.10000229,9.187333107,20.99933434
