"bclim1","bclim10","bclim11","bclim12","bclim13","bclim14","bclim15","bclim16","bclim17","bclim18","bclim19","bclim2","bclim3","bclim4","bclim5","bclim6","bclim7","bclim8","bclim9"
1,0.9579728,0.9123484,0.3454471,0.2977526,0.4016984,0.0121635,0.3018745,0.4363977,0.0299568,0.314484,0.1473137,0.0872963,0.356976,0.928318,0.8262268,0.316959,0.8271414,0.6002525
0.9579728,1,0.7740817,0.4376179,0.4235232,0.2057518,0.1894024,0.4519346,0.3152464,0.1386469,0.4784026,0.0723956,0.2863187,0.5688019,0.9514225,0.7215951,0.4377885,0.7654758,0.4652509
0.9123484,0.7740817,1,0.1589965,0.068713,0.6396137,0.2997677,0.0459512,0.5508954,0.114239,0.0357155,0.2425936,0.2173659,0.0014573,0.7695892,0.8830892,0.0880442,0.8055824,0.7241236
0.3454471,0.4376179,0.1589965,1,0.9422701,0.0463341,0.3750186,0.9120722,0.3286987,0.2941452,0.875668,0.1624457,0.3679491,0.5798783,0.4800186,0.0283376,0.6649373,0.2678983,0.080977
0.2977526,0.4235232,0.068713,0.9422701,1,0.1543255,0.6087255,0.9718528,0.0908292,0.0941461,0.9523461,0.1587622,0.4397565,0.7026478,0.4759497,0.0736001,0.7410043,0.2087431,0.0967328
0.4016984,0.2057518,0.6396137,0.0463341,0.1543255,1,0.7687427,0.2370047,0.7996707,0.6376012,0.3058529,0.3053399,0.5499492,0.5232096,0.2694491,0.463625,0.1986811,0.356782,0.7516422
0.0121635,0.1894024,0.2997677,0.3750186,0.6087255,0.7687427,1,0.6642068,0.6435142,0.5917079,0.7091806,0.049808,0.5712148,0.775606,0.1810142,0.2349631,0.5575939,0.0435723,0.6149259
0.3018745,0.4519346,0.0459512,0.9120722,0.9718528,0.2370047,0.6642068,1,0.0383127,0.0383394,0.9884215,0.0686483,0.5295756,0.7633928,0.4653426,0.0485372,0.7092074,0.2150608,0.1497788
0.4363977,0.3152464,0.5508954,0.3286987,0.0908292,0.7996707,0.6435142,0.0383127,1,0.7422923,0.0146474,0.0604007,0.1747337,0.219666,0.319458,0.411225,0.0393821,0.4181925,0.7705618
0.0299568,0.1386469,0.114239,0.2941452,0.0941461,0.6376012,0.5917079,0.0383394,0.7422923,1,0.100386,0.2448399,0.3288036,0.3427742,0.0229699,0.1112237,0.0526131,0.0059025,0.5502124
0.314484,0.4784026,0.0357155,0.875668,0.9523461,0.3058529,0.7091806,0.9884215,0.0146474,0.100386,1,0.0358423,0.5799533,0.8185509,0.4817088,0.0347921,0.72414,0.2408732,0.1648549
0.1473137,0.0723956,0.2425936,0.1624457,0.1587622,0.3053399,0.049808,0.0686483,0.0604007,0.2448399,0.0358423,1,0.7049868,0.1221607,0.3342203,0.1384553,0.5363975,0.1693171,0.2430272
0.0872963,0.2863187,0.2173659,0.3679491,0.4397565,0.5499492,0.5712148,0.5295756,0.1747337,0.3288036,0.5799533,0.7049868,1,0.7539678,0.0972634,0.0182205,0.1779327,0.0116191,0.2972122
0.356976,0.5688019,0.0014573,0.5798783,0.7026478,0.5232096,0.775606,0.7633928,0.219666,0.3427742,0.8185509,0.1221607,0.7539678,1,0.5244273,0.0296754,0.7195115,0.2563935,0.1759584
0.928318,0.9514225,0.7695892,0.4800186,0.4759497,0.2694491,0.1810142,0.4653426,0.319458,0.0229699,0.4817088,0.3342203,0.0972634,0.5244273,1,0.6104527,0.5945264,0.7382767,0.5057222
0.8262268,0.7215951,0.8830892,0.0283376,0.0736001,0.463625,0.2349631,0.0485372,0.411225,0.1112237,0.0347921,0.1384553,0.0182205,0.0296754,0.6104527,1,0.1676861,0.7192883,0.5586026
0.316959,0.4377885,0.0880442,0.6649373,0.7410043,0.1986811,0.5575939,0.7092074,0.0393821,0.0526131,0.72414,0.5363975,0.1779327,0.7195115,0.5945264,0.1676861,1,0.2597165,0.0419915
0.8271414,0.7654758,0.8055824,0.2678983,0.2087431,0.356782,0.0435723,0.2150608,0.4181925,0.0059025,0.2408732,0.1693171,0.0116191,0.2563935,0.7382767,0.7192883,0.2597165,1,0.54981
0.6002525,0.4652509,0.7241236,0.080977,0.0967328,0.7516422,0.6149259,0.1497788,0.7705618,0.5502124,0.1648549,0.2430272,0.2972122,0.1759584,0.5057222,0.5586026,0.0419915,0.54981,1
