,lon,lat
Xantusia vigilis,-118.4219714,35.77997211
Xantusia vigilis,-118.6065619,34.78262671
Xantusia vigilis,-120.656439,36.515528
Xantusia vigilis,-113.481833,34.474167
Xantusia vigilis,-118.890195,34.877141
Xantusia vigilis,-117.19337,34.49662
Xantusia vigilis,-113.4,34.6
Xantusia vigilis,-115.453339,36.059137
Xantusia vigilis,-114.824476,35.65284738
Xantusia vigilis,-118.1892481,35.88986806
Xantusia vigilis,-117.7132,34.4911
Xantusia vigilis,-117.9063809,35.83537146
Xantusia vigilis,-118.20454,37.18681
Xantusia vigilis,-118.17,34.7199
Xantusia vigilis,-114.03975,32.28325
Xantusia vigilis,-117.619276,34.664107
Xantusia vigilis,-118.1912227,37.09044854
Xantusia vigilis,-115.45852,36.27914
Xantusia vigilis,-114.0669589,36.76197612
Xantusia vigilis,-114.035,34.423333
Xantusia vigilis,-118.13584,34.69876
Xantusia vigilis,-119.970703,35.165389
Xantusia vigilis,-116.273325,36.401353
Xantusia vigilis,-114.16966,35.45244
Xantusia vigilis,-115.118992,35.514838
Xantusia vigilis,-115.343042,36.152271
Xantusia vigilis,-113.65,35.4333
Xantusia vigilis,-115.1285,36.144416
Xantusia vigilis,-118.1410546,34.63099811
Xantusia vigilis,-117.4307363,34.63425799
Xantusia vigilis,-113.808007,35.1847
Xantusia vigilis,-118.469,34.904333
Xantusia vigilis,-118.161693,34.677522
Xantusia vigilis,-115.5271617,35.54041545
Xantusia vigilis,-114.7,35.066
Xantusia vigilis,-118.8945835,34.87593914
Xantusia vigilis,-116.017167,36.651353
Xantusia vigilis,-115.973067,36.202752
Xantusia vigilis,-117.0636453,34.39657899
Xantusia vigilis,-115.7244941,34.81459882
Xantusia vigilis,-118.7333,35.4333
Xantusia vigilis,-110.605167,37.838167
Xantusia vigilis,-117.1577714,34.48490593
Xantusia vigilis,-117.8942,35.7108
Xantusia vigilis,-118.8586596,35.61392613
Xantusia vigilis,-117.187073,34.052116
Xantusia vigilis,-118.4134168,34.9093597
Xantusia vigilis,-116.029017,35.256367
Xantusia vigilis,-117.2521521,34.33675933
Xantusia vigilis,-118.60206,37.4876
Xantusia vigilis,-118.353107,34.638018
Xantusia vigilis,-117.5156321,34.91280495
Xantusia vigilis,-116.0490271,36.58846252
Xantusia vigilis,-115.501344,36.4507
Xantusia vigilis,-115.184288,34.608463
Xantusia vigilis,-113.7833,34.45
Xantusia vigilis,-115.65905,35.426733
Xantusia vigilis,-117.396119,33.953297
Xantusia vigilis,-118.2367716,35.55799106
